id,collection,dc.contributor.author[],dc.date.issued[],dc.description.abstract[],dc.description.audio[],dc.description[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.relation.isformatof[],dc.subject[],dc.title.alternative[],dc.title[],dc.type[]
"44480","1813/42947","Culler, Jonathan D.","1978-04-21","Culler discusses the interpretation of the Romantic poets set forth in The Mirror & the Lamp,' a work of literary criticism by M. H. Abrams, and suggests that modern interpretations of the works of the Romantic poets have developed within the context of the metaphor set forth within this book.","1_xrq0nhk5||1_sd9oj7ey","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Speaker(s): Class of 1916 Professor of English and professor of comparative literature at Cornell University., Lecture, April 21, 1978.",,"http://hdl.handle.net/1813/43324","en_US","3602748","Abrams, M. H. (Meyer Howard), 1912-2015. Mirror and the lamp||English literature--History and criticism--Theory, etc||Romanticism","High romantic arguments.","The mirror stage","Sound"
"44482","1813/42947","Morrison, Toni","1978","Toni Morrison gives a talk entitled, A Matter of Fiction, which discusses why people write and read fiction, specifically relating her own motivations. Morrison focuses on the preservation of the oral tradition as her primary motivation.","1_xgip1xpn","Recorded in Ithaca, NY by Cornell University., Speaker(s): Author, professor at Howard University, Cornell alumnus., Reading and Lecture.",,"http://hdl.handle.net/1813/43326","en_US","3602582","Morrison, Toni||Fiction--Women authors||Fiction--20th century||Writing 1900 - 1999",,"Toni Morrison reads her work","Sound"
"44484","1813/42947","Fuentes, Carlos","1979-10-16","Discusses the unequaled importance of language in the perception of history.","1_6grk27n4||1_zje9yzew||1_7y2ex1tw","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities,Latin American Studies Program,Romance Studies, Department of., Speaker(s): Critically acclaimed Mexican author., Lecture, October 16, 1979.||70 minutes",,"http://hdl.handle.net/1813/43328","en_US","3602373",,,"Names, novels and histories","Sound"
"44478","1813/42947","Hoesli, Bernhard","1978-04-14",,"1_2y47v603","Recorded in Ithaca, NY by Cornell University., Sponsored by: Architecture, Department of., Lecture, April 14, 1978.||35 minutes",,"http://hdl.handle.net/1813/43322","en_US","3602691",,"Preston H. Thomas memorial lectures.","Bernard Hoesli on architecture","Sound"
"44483","1813/42947","Koolhas, Rem","1979-03-02","Koolhas discusses modernist and post-modernist ideas in architecture through study of a number of architectural details.","1_wvd7kjqb||1_c8zvbimh","Recorded in Ithaca, NY by Cornell University., Lecture, March 2, 1979.||90 minutes",,"http://hdl.handle.net/1813/43327","en_US","3602617","Architecture--Details||Architecture, Postmodern||Architecture, Modern--19th century 1800 - 1899",,"A study of modern and postmodern architecture through architectural details","Sound"
"44485","1813/42947","LaCapra, Dominick, 1939-","1980-04-24","After explaining that a feeling of crises within the field of intellectual history has motivated introspection into the nature and objectives of the field, LaCapra discusses existing approaches and outlines alternative methods of addressing issues in intellectual history.","1_1hp0db2w||1_nuojhif9","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities,Western Societies Program,History, Department of., Lecture, April 24, 1980.||75 minutes",,"http://hdl.handle.net/1813/43329","en_US","3602200",,"Future of European intellectual history.","Intellectual history: a reconsideration","Sound"
"44486","1813/42947","Hoffman, Abbie","12/7/1981","This recording includes approximately 30 min. of a press conference given in conjunction with the lecture. Abbie Hoffman discusses the media, the government and his protest activites.","1_6a78qvbj||1_ojt5ba1m||1_z9iy6ywo","Recorded in Ithaca, NY by Cornell University., Lecture, December 7, 1981.||170 minutes","http://hdl.handle.net/1813/43330",,"en_US","3602318","Hoffman, Abbie||Political participation||Radicalism--United States--20th century 1900 - 1999",,"[Abbie Hoffman speaks at Cornell.]","Sound"
"44488","1813/42947","Singer, Isaac Bashevis, 1904-1991","11/4/1981","Singer discusses the significance of cabala--the Jewish theology based on a cipher method of interpreting the scripture--to the sceptical, scientific modern man.","1_oe0gu49r||1_brzmk5iu","Recorded in Ithaca, NY by Cornell University., Sponsored by: Student Finance Commission,Friends of Israel,Jewish Studies Program,Council on the Creative and Performing Arts,Temple Beth-El,Sigma Phi Fraternity,University Unions Programming Board,Near Eastern Studies, Department of,Young Israel House,Young Judea., Speaker(s): Jewish-American fiction writer., Lecture, November 4, 1981.||","http://hdl.handle.net/1813/43332",,"en_US","3601684","Cabala||Jewish literature||Magic||Science and magic",,"Cabala and the modern man","Sound"
"44487","1813/42947","Eco, Umberto","10/23/1981","A comparative discussion about semiotics and logic in Sherlock Holmes, Aristotle, and other analytical philosophers.","1_8risr7ws||1_7g0vkjto","Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Lecture, October 23, 1981.||","http://hdl.handle.net/1813/43331",,"en_US","3602112","Aristotle||Induction (Logic)||Logic||Semiotics||Abduction (Logic)","Semiotics of culture.","Horns, beans and insteps: guessing from Aristotle to Sherlock Holmes","Sound"
"44504","1813/42947","Cook, Alice","7/28/1983","Cook explores the dimensions of women's increased labor force participation in the United States.","1_lnzsmygb","Recorded in Ithaca, NY by Cornell University., Speaker(s): Cook is professor emerita in the New York State School of Industrial and Labor Relations., Lecture, July 28, 1983.||","http://hdl.handle.net/1813/43347",,"en_US","3601554","Women--Legal status, laws, etc||Women--Employment",,"1984: women in the workplace","Sound"
"44509","1813/42947","Brant, Beth, 1941-2015","11/11/1983","Brant reads and discusses a selection of poetry written by Native American women.","1_p74c15fg||1_qhqrmkb4","Recorded in Ithaca, NY by Cornell University., Sponsored by: Women's Studies Program., Reading, November 11, 1983.||70 minutes","http://hdl.handle.net/1813/43352",,"en_US","3601424","Women authors||Indians of North America--Poetry||Indian poetry",,"A gathering of spirit: a reading of North American Indian womens' writing","Sound"
"44492","1813/42947","Rich, Adrienne, 1929-2012","5/5/1982","Rich reads a collections of her poems which illustrate her feminist views on issues such as the Holocaust, racism and sexuality.","1_xxp9p609||1_u1y61u2v||1_509o0mut","Recorded in Ithaca, NY by Cornell University., Sponsored by: Women's Studies Program., Speaker(s): Andrew D. White Professor-at-Large, poet and leading feminist thinker., Reading, May 5, 1982.||","http://hdl.handle.net/1813/43335",,"en_US","3601895","Rich, Adrienne, 1929-2012||Feminism in literature||Women--Poetry",,"Adrienne Rich reads her own poetry","Sound"
"44518","1813/42947","Howard, Michael","3/7/1984","Howard examines the weaknesses of the United States' foreign policy.","1_ziurifhi||1_25nsbavg","Recorded in Ithaca, NY by Cornell University., Sponsored by: University Lectures Committee., Lecture, March 7, 1984.||80 minutes","http://hdl.handle.net/1813/43361",,"en_US","3601375",,,"The United States and the Wider World","Sound"
"44497","1813/42947","Friman, Alice R.","2/17/1983","Friman reads three poems which deal with different aspects of the life of King Midas, the man who was given the golden touch.","1_7e05icjy||1_eyc1dcnv","Recorded in Ithaca, NY by Cornell University., Sponsored by: English, Department of., Reading, February 17, 1983.||60 minutes","http://hdl.handle.net/1813/43340",,"en_US","3601647","Poetry--Themes, motives||Mythology, Classical||Midas (Legendary character)",,"Alice R. Friman reads her own poetry","Sound"
"44501","1813/42947","Marinaro, Ed, 1950-","4/15/1983","Marinaro talks of his career as a pro football player and as an actor, explaining the adjustment from athlete to actor.","1_q8sw0858||1_e2mfdrtx","Recorded in Ithaca, NY by Cornell University., Sponsored by: Interfraternity Council,Dean of Students Office,Graduate School,Council on the Creative and Performing Arts,The Theatre of Ideas., Speaker(s): Former actor on Hill Street Blues, Alumnus of Cornell., Lecture, April 15, 1983.||","http://hdl.handle.net/1813/43344",,"en_US","3601518",,,"All the world's a stage: an insider's perspective on Hill Street Blues","Sound"
"44514","1813/42947","Ba-Yunus, Ilyas","2/24/1984","Ba-Yunus presents a personal assessment of the current state of Islam in the Middle East.","1_29gcq5i4||1_7dqyf9f5","Recorded in Ithaca, NY by Cornell University., Lecture, February 24, 1984.||70 minutes","http://hdl.handle.net/1813/43357",,"en_US","3601348","Islam--Doctrines||Islam and politics",,"Alternative choices: solutions to modern man's problems","Sound"
"44517","1813/42947","Lowi, Theodore J.||Ginsberg, Benjamin","3/6/1984","Lowi and Ginsberg discuss the possibility and probability of Reagan being defeated in the upcoming election.","1_sjymt445||1_vbz46rb4","Recorded in Ithaca, NY by Cornell University., Lecture, March 6, 1984.||90 minutes","http://hdl.handle.net/1813/43360",,"en_US","3601373","United States. President (1981-1989 : Reagan)||Politics, Practical||Elections--Presidents--United States",,"Can Anyone Defeat Reagan?","Sound"
"44499","1813/42947","Benítez Rojo, Antonio, 1931-2005","3/17/1983","Benitez-Rojo describes the Caribbean influence on Cuban culture.","1_dog7a0zl||1_43icl39s","Recorded in Ithaca, NY by Cornell University., Lecture, March 17, 1983.||57 minutes","http://hdl.handle.net/1813/43342",,"en_US","3601498","Cuban literature--20th century||Cuba--Intellectual life||Cuba--Civilization--Caribbean influences 1900 - 1999",,"La cultura caribena en la Cuba actual: continuidad versus reptura","Sound"
"44507","1813/42947","Robeson, Paul, 1898-1976","10/5/1983","Robeson introduces two films of his father's which present views of the black actor.","1_31lp4ile","Recorded in Ithaca, NY by Cornell University., Lecture, October 5, 1983.||","http://hdl.handle.net/1813/43350",,"en_US","3601389","Robeson, Paul, 1898-1976||American drama--Afro-American actors||African American actors",,"Commentary on two films","Sound"
"44506","1813/42947","McGovern, George S. (George Stanley), 1922-2012","9/29/1983","McGovern describes his plans if elected in 1984 and discusses some of the problems facing the Reagan administration.","1_zux9pzk2||1_qn6vf1f1","Recorded in Ithaca, NY by Cornell University., Sponsored by: Frontlash., Lecture, September 29, 1983.||90 minutes","http://hdl.handle.net/1813/43349",,"en_US","3601570",,,"Presidential forum: George McGovern","Sound"
"44522","1813/42947","López-Baralt, Mercedes","3/15/1984","Lopez-Baralt traces the history and development of European iconography and emblems in the New World.","1_5wue027r||1_dsqvwt65","Recorded in Ithaca, NY by Cornell University., Sponsored by: Romance Studies, Department of,Society for the Humanities,American Studies Program,Women's Studies Program,Arts and Sciences, College of., Lecture, March 15, 1984.||45 minutes","http://hdl.handle.net/1813/43365",,"en_US","3601299","Christian art and symbolism||Icons||Mythology","Political iconography of the New World.","The political iconography of the new world: the foundation myth in Catholic, Protestant and Native icons","Sound"
"44516","1813/42947","Kennedy, Florynce, 1916-2000","3/2/1984","Kennedy describes the place of women in the legal profession.","1_3im3n4lu||1_qu0yotrl","Recorded in Ithaca, NY by Cornell University., Sponsored by: Women's Law Coalition,Women's Studies Program,Architecture, Art and Planning, College of,Vice-President of Campus Affairs, Research and Advanced Studies,ABA-Law, Student Division., Lecture, March 2, 1984.||59 minutes","http://hdl.handle.net/1813/43359",,"en_US","3601360","Feminism||Women--Legal status, laws, etc||Women--Political activity",,"Feminist activism and the law","Sound"
"44510","1813/42947","Stoddard, Thomas B.","12/8/1983","Stoddard describes gay rights at both the federal and state levels, as well as at Cornell University.","1_lvq0wcmk","Recorded in Ithaca, NY by Cornell University., Lecture, December 8, 1983.||","http://hdl.handle.net/1813/43353",,"en_US","3601455","Civil rights--United States||Discrimination in education||Gay rights",,"Gay people and civil rights: how far, how fast","Sound"
"44494","1813/42947","Bishop, Jonathan","11/30/1982","Bishop discusses contemporary literature from Fitzgerald to Diddeon as a frame for absolution.","1_i3nflxcg||1_vz8wappc","Recorded in Ithaca, NY by Cornell University., Sponsored by: Graduate Literature Club., Lecture, November 30, 1982.||60 minutes","http://hdl.handle.net/1813/43337",,"en_US","3601627","Literature, Modern--History and criticism||Comparative literature--Themes, motives||Faith in literature||Absolution",,"Imagination as faith","Sound"
"44527","1813/42947","Derrida, Jacques","4/18/1984","Derrida discusses different ideas of, feelings about, and cultural groupings of inventions and invention methods.","1_hobmxjhm||1_emeks97c||1_d40j6pps","Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program,Romance Studies, Department of., Lecture, April 18, 1984.||90 minutes","http://hdl.handle.net/1813/43370",,"en_US","3604586","Belief and doubt||Truth||Inventions","Andrew D. White Professors-At-Large lectures.","Invention of the truth","Sound"
"44495","1813/42947","Padella, Herberto","12/7/1982","Padella discusses the role of the writer in communist Cuba where he is seen not as a hero, but as an unglorified contributor to social justice.","1_zghx9uzw||1_i1cxh7fl","Recorded in Ithaca, NY by Cornell University., Sponsored by: Cuban Student Society,Latin American Studies Program,Student Finance Commission., Lecture, December 7, 1982.||80 minutes","http://hdl.handle.net/1813/43338",,"en_US","3601632","Authors, Cuban||Cuban literature--20th century||Cuba--Intellectual life 1900 - 1999",,"The role of the writer in Cuba","Sound"
"44508","1813/42947","Angelak?-Rouk, Katerina","11/7/1983","Anghelaki-Rooke's poems recall her Greek ancestry.","1_tc3xqqzy||1_xjuz23tf","Recorded in Ithaca, NY by Cornell University., Sponsored by: Hellenic Student Association,Ithaca Community Poets., Reading, November 7, 1983.||60 minutes","http://hdl.handle.net/1813/43351",,"en_US","3601415","Poetry--Themes, motives||Poets, Greek (Modern)||Greek poetry, Modern",,"Katerina Anghelaki-Hook reads her own poetry","Sound"
"44502","1813/42947","Vonnegut, Kurt","4/17/1983","Vonnegut describes life as a Cornell undergraduate and the way to become a successful writer.","1_5wv3m7hj||1_uzj1sko1","Recorded in Ithaca, NY by Cornell University., Sponsored by: Sigma Phi Fraternity,Cornell Daily Sun,University Unions Programming Board., Lecture, April 17, 1983.||85 minutes","http://hdl.handle.net/1813/43345",,"en_US","3601523",,"James Norris Oliphant distinguished speakers.","Kurt Vonnegut, Jr. lectures about his work","Sound"
"44503","1813/42947","Derrida, Jacques","4/19/1983","Derrida discusses a university's reason to be, its meaning and distinction.","1_0v1u0oy1||1_r1sujbmh||1_kxr9y12b","Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program., Lecture, April 19, 1983.||100 minutes","http://hdl.handle.net/1813/43346",,"en_US","3604576","Universities and colleges--Evaluation||Education, Higher--Aims and objectives","Andrew D. White Professors-At-Large lectures.","The principle of reason and the idea of the university","Sound"
"44519","1813/42947","Dubelman, Richard","3/7/1984","Dubelman gives a professional's perspective on writing, producing, and directing for the motion picture and television industry.","1_3vowcfdc||1_t1rideon","Recorded in Ithaca, NY by Cornell University., Sponsored by: Sigma Phi Fraternity,Ithaca Filmmakers at Cornell (IFMAC),Willard Straight Hall Programming Board., Lecture, March 7, 1984.||65 minutes","http://hdl.handle.net/1813/43362",,"en_US","3601378","Motion pictures--Production and direction||Motion picture industry--United States","James Norris Oliphant distinguished speakers.","Producing, directing, writing movies","Sound"
"44505","1813/42947","Baranczak, Stanislaw, 1946-2014","9/12/1983","Baranczak discusses the effect of martial law on poetry in Poland.","1_29rlrpxh||1_tb5phjdh","Recorded in Ithaca, NY by Cornell University., Lecture, September 12, 1983.||55 minutes",,"http://hdl.handle.net/1813/43348","en_US","3601559","Polish poetry--20th century||Politics and literature||Martial law--Poland||Poland--Intellectual life--1945- Since 1900",,"Polish poetry under martial law","Sound"
"44523","1813/42947","Cotton, Dorothy","4/9/1984","Cotton discusses the need for global understanding between nations.","1_ny1e4pvk","Recorded in Ithaca, NY by Cornell University., Sponsored by: Center for World Community,Interreligious International Ministries Committee (IRIM)., Lecture, April 9, 1984.||45 minutes","http://hdl.handle.net/1813/43366",,"en_US","3601337","Peace||Civil rights||Liberty",,"Ways toward peace in the world community","Sound"
"44526","1813/42947","York, Herbert F. (Herbert Frank)","4/17/1984","York describes the nuclear arms race and the problems inherent in dealing with it.","1_af67tbv8||1_jkebyw1o","Recorded in Ithaca, NY by Cornell University., Lecture, April 17, 1984.||45 minutes","http://hdl.handle.net/1813/43369",,"en_US","3601310","Nuclear warfare--Social aspects||Arms race","Nuclear symposium.|Messenger lectures.","The nuclear arms race: why it is so hard to deal with","Sound"
"44525","1813/42947","Certeau, Michel de","4/16/1984","deCerteau discusses the role of belief in primitive cultures.","1_vvoedvgl||1_3ch039f5","Recorded in Ithaca, NY by Cornell University., Sponsored by: University Lectures Committee., Lecture, April 16, 1984.||90 minutes","http://hdl.handle.net/1813/43368",,"en_US","3601108","Belief and doubt||Belief, Problem of (Literature)||Anthropology",,"The problem of believing preliminaries to an historical anthropology of believability","Sound"
"44524","1813/42947","Mari Bras, Juan","4/11/1984","Bras discusses the United States' dominance of Puerto Rico and its resistance to granting independence to the island.","1_1p3azy64||1_9pfl9nsh","Recorded in Ithaca, NY by Cornell University., Lecture, April 11, 1984.||55 minutes","http://hdl.handle.net/1813/43367",,"en_US","3601326","United States--Foreign relations--Latin America||Puerto Rico--Politics and government||Latin America--Politics and government",,"Lecture on current Latin American politics","Sound"
"44512","1813/42947","Porter, Katherin Anne","2/6/1984","Porter discusses her artwork.","1_fxlwn4x1||1_v3apecfc","Recorded in Ithaca, NY by Cornell University., Sponsored by: Art, Department of., Lecture, February 6, 1984.||60 minutes","http://hdl.handle.net/1813/43355",,"en_US","3601474","Porter, Katherine Anne, 1890-1980||Women artists||Artists--United States",,"Lecture on her work","Sound"
"44491","1813/42947","Hartigan, Grace","3/23/1982","Hartigan discusses her background as an artist and gives a slide show of her works, discussing the history of each painting.","1_gnlsrx4e||1_0wx2w868","Recorded in Ithaca, NY by Cornell University., Sponsored by: Art, Department of., Speaker(s): Painter, Director, Haffburger Graduate School of Painting, Merrill Institute., Lecture, March 23, 1982.||","http://hdl.handle.net/1813/43334",,"en_US","3601860","Hartigan, Grace||Painting, American||Art, American",,"Lecturing on her work","Sound"
"44500","1813/42947","Woodring, Carl, 1919-2009","3/17/1983","Woodring defines the age of romanticism.","1_52tq6bgm||1_ygx2t5by","Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, March 17, 1983.||37 minutes","http://hdl.handle.net/1813/43343",,"en_US","3601499",,,"On being half romantic","Sound"
"44511","1813/42947","Gates, Henry Louis, Jr.","12/15/1983","Gates discusses black writing styles.","1_yx45hn8z||1_cupb47cc","Recorded in Ithaca, NY by Cornell University., Sponsored by: English, Department of., Lecture, December 15, 1983.||80 minutes","http://hdl.handle.net/1813/43354",,"en_US","3601458","Authors, Black||Comparative literature--Themes, motives",,"Race, writing and difference","Sound"
"44521","1813/42947","Mbata, J. Congress","3/14/1984","Mbata presents his view of a future global village.","1_5ugzarfs||1_vrmf0ip2","Recorded in Ithaca, NY by Cornell University., Sponsored by: Interreligious International Ministries Committee (IRIM),Center for World Community., Lecture, March 14, 1984.||75 minutes","http://hdl.handle.net/1813/43364",,"en_US","3601313","International relations||United States--Foreign relations||Developing countries",,"USA, developing nations and world community, part 2","Sound"
"44490","1813/42947","Steinem, Gloria","11/15/1981","Steinem criticizes the Reagan administration for its stance on issues concerning women, abortion, and minorities. She discusses the need for the more unified organization of women in politics.","1_7il642pf||1_2xugaf27","Recorded in Ithaca, NY by Cornell University., Sponsored by: University Unions Program Board,Interfraternity Council,Sigma Chi,Alpha Delta Phi,Panhellenic Council,Women's Studies Program,Women's resource Center,Alpha Phi Omega,Mortar Board Honor Society,ILR Student Government,Unions and Activities, Department of., Speaker(s): Political journalist, on the national boards of the National Organization for Women and the National Women's Political Caucus, editor, Ms. magazine., Lecture, November 15, 1981.||","http://hdl.handle.net/1813/43333",,"en_US","3601822","Supply-side economics||Equal rights amendments--United States||Discrimination||Women's rights--United States","Reaganomics and minorities.","Reaganomics and women","Sound"
"44496","1813/42947","Kahn, Wolf, 1927-","2/9/1983","Kahn discusses current, important issues in art and relates them to contemporary examples in painting.","1_89w0epih||1_8vqrbtwg","Recorded in Ithaca, NY by Cornell University., Sponsored by: Council on the Creative and Performing Arts., Lecture, February 9, 1983.||60 minutes","http://hdl.handle.net/1813/43339",,"en_US","3601638","Art--Themes, motives||Painting--Themes, motives",,"Restlessness and stability in present day painting","Sound"
"44515","1813/42947","Burak, David, 1945-||Saake, Ruby||Munday, Reuben||McConkey, James","2/28/1984","Panel looks back on the Willard Straight Hall takeover from various perspectives.","1_0j85mc7m||1_htcfpr7w","Recorded in Ithaca, NY by Cornell University., Sponsored by: Interfraternity Council,Ujamaa Residential College,Willard Straight Hall Programming Board., Lecture, February 28, 1984.||105 minutes","http://hdl.handle.net/1813/43358",,"en_US","3601352","Cornell University--History--20th century||Students--Political activity||Discrimination in education 1900 - 1999",,"The seizure of Willard Straight Hall and its meaning for today: a fifteen year retrospective","Sound"
"44493","1813/42947","Choay, Françoise","10/14/1982","Choay outlines the concepts of myth, history, and remembrance and their relationship to the built environment.","1_mjn8oqx6||1_arp2esg4||1_qszy5t7b","Recorded in Ithaca, NY by Cornell University., Sponsored by: Architecture, Department of., Lecture, October 14, 1982.||80 minutes","http://hdl.handle.net/1813/43336",,"en_US","3601114",,"Preston H. Thomas memorial lectures.","Theory of architecture: conflicting roles of myth","Sound"
"44520","1813/42947","Mbata, J. Congress","3/12/1984",,"1_ey12gv8r||1_zxbikq1u","Recorded in Ithaca, NY by Cornell University., Sponsored by: Interreligious International Ministries Committee (IRIM),Center for World Community., Lecture, March 12, 1984.||80 minutes","http://hdl.handle.net/1813/43363",,"en_US","3602463",,,"USA, developing nations and world community","Sound"
"44513","1813/42947","Wettig-Danielmeier, Inge, 1936-","2/24/1984","Wettig-Danielmeier dicusses the role of women in West German politics and the peace movement.","1_1in7j8i8||1_iv5dett3","Recorded in Ithaca, NY by Cornell University., Sponsored by: Peace Studies Program,Women's Studies Program., Lecture, February 24, 1984.||85 minutes","http://hdl.handle.net/1813/43356",,"en_US","3601347","Peace--Societies, etc||Women and peace||Germany (West)--Politics and government",,"Women and the West German peace movement","Sound"
"44498","1813/42947","Lutosławski, Witold, 1913-1994","3/10/1983","Lutoslawski discusses the construction of music in the past and explains how the past affects the future of music.","1_nkzqr7ng||1_n50h220w","Recorded in Ithaca, NY by Cornell University., Sponsored by: University Lectures Committee., Lecture, March 10, 1983.||55 minutes",,"http://hdl.handle.net/1813/43341","en_US","3601488","Music--History and criticism||Music--20th century 1900 - 1999",,"Thoughts on the future of music","Sound"
"44528","1813/42947","York, Herbert F. (Herbert Frank)","4/19/1984","York explores the history of, and politics behind, the nuclear arms race. He suggests steps which the United States government and universities can take in order to halt the cold war.","1_qawyki84||1_g54zfu2y","Recorded in Ithaca, NY by Cornell University., Lecture, April 19, 1984.||50 minutes","http://hdl.handle.net/1813/43371",,"en_US","3601343","Nuclear warfare--Social aspects||Arms race||International relations","Nuclear symposium.|Messenger lectures.","The nuclear arms race: what might be done","Sound"
"44531","1813/42947","Habermas, Jürgen","9/7/1984","Habermas examines Nietzsche's interpretations of the modernity and postmodernity debate.","1_agjk4c17||1_w9wujxob","Recorded in Ithaca, NY by Cornell University., Speaker(s): Professor of sociology at the Frankfurt School, West Germany., Lecture, September 7, 1984.||70 minutes","http://hdl.handle.net/1813/43374",,"en_US","3601190","Nietzsche, Friedrich Wilhelm, 1844-1900||Philosophy--History--18th and 19th century||Social sciences--Philosophy 1700 - 1899","The philosophical discourse on modernity and postmodernity.|Messenger lectures.","The Triple heritage of Nietzsche","Sound"
"44530","1813/42947","Habermas, Jürgen","9/6/1984","Habermas analyzes the philosophical discourse surrounding modernity and postmodernity.","1_5fx8tbcb||1_ew6jfauy","Recorded in Ithaca, NY by Cornell University., Speaker(s): Professor of sociology at the Frankfurt School, West Germany., Lecture, September 6, 1984.||72 minutes","http://hdl.handle.net/1813/43373",,"en_US","3601191","Philosophy--History--18th and 19th century||Modernism (Literature)||Social sciences--Philosophy 1700 - 1899","The Philosophical discourse on modernity and postmodernity.|Messenger lectures.","Dionysics vs. romantic","Sound"
