001,005,007,008,035_##$a,040_##$a,040_##$c,040_##$d,043_##$a,245_0*$a,245_0*$b,245_0*$c,245_0*$h,245_0*$n,246_1#$a,246_1#$b,246_1#$i,246_13$a,246_13$n,246_3#$a,246_3#$n,246_30$a,260_##$a,260_##$b,260_##$c,300_##$a,300_##$b,300_##$c,440_#0$a,500_##$a,505_0#$a,505_1#$a,508_##$a,511_0#$a,511_2#$a,518_##$a,520_##$a,538_##$a,600_#7$0,600_#7$2,600_#7$a,600_#7$d,600_10$a,600_10$d,600_10$t,600_17$0,600_17$2,600_17$a,600_17$d,610_20$a,610_20$b,610_20$v,610_20$x,610_27$0,610_27$2,610_27$a,610_27$b,648_#7$2,648_#7$a,650_#0$a,650_#0$v,650_#0$x,650_#0$y,650_#0$z,650_#7$0,650_#7$2,650_#7$a,650_#7$x,650_00$a,650_00$b,650_00$c,650_00$d,651_#0$a,651_#0$v,651_#0$x,651_#0$y,651_#0$z,651_#7$0,651_#7$2,651_#7$a,651_#7$z,655_#7$0,655_#7$2,655_#7$a,700_0#$a,700_1#$a,700_1#$c,700_1#$d,700_1#$q,710_2#$a,710_2#$b,711_2#$a,711_2#$c,711_2#$d,740_* $a,905_##$a,948_1#$a,948_1#$b,948_1#$d,948_1#$e,948_1#$f,948_2#$a,948_2#$b,948_2#$d,948_2#$e,948_2#$f,948_2#$h,948_2#$x,948_3#$a,948_3#$h,948_3#$i,leader
2465687,20141205223257.0,vf|cbahou,941107s1985    nyu||| e          vleng d,(NIC)notisAMJ1559;(OCoLC)63989204;2465687;,NIC,NIC,NIC,n-us---,NCBS Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,[1985],11 videocassettes :,"sd., col. ;",1/2 in.,,"Title from videocassette label.;Videotaped live at Cornell University in 1985.;""121a-121k."";",,,,,,,,VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;African Americans;African Americans;African Americans;Racism;,,"Education, Higher.;Study and teaching;Social conditions.;Race identity.;",,United States.;United States.;,(OCoLC)fst00799607;(OCoLC)fst00799666;(OCoLC)fst00799698;(OCoLC)fst00799707;(OCoLC)fst01086616;,fast;fast;fast;fast;fast;,African Americans;African Americans;African Americans;African Americans;Racism;,Education (Higher);Race identity;Social conditions;Study and teaching;,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,Cornell University.,Africana Studies and Research Center.,NCBS Conference,Cornell University),(1985 :,,19950707120000.0,,,,,,20040601;20141205;,a;m;,pd36;batch;,lts;lts;,?,?,addfast,,,,01599cgm a2200409 a 4500
2465687,20141205223257.0,vf|cbahou,941107s1985    nyu||| e          vleng d,(NIC)notisAMJ1559;(OCoLC)63989204;2465687;,NIC,NIC,NIC,n-us---,NCBS Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,[1985],11 videocassettes :,"sd., col. ;",1/2 in.,,"Title from videocassette label.;Videotaped live at Cornell University in 1985.;""121a-121k."";",,,,,,,,VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;African Americans;African Americans;African Americans;Racism;,,"Education, Higher.;Study and teaching;Social conditions.;Race identity.;",,United States.;United States.;,(OCoLC)fst00799607;(OCoLC)fst00799666;(OCoLC)fst00799698;(OCoLC)fst00799707;(OCoLC)fst01086616;,fast;fast;fast;fast;fast;,African Americans;African Americans;African Americans;African Americans;Racism;,Education (Higher);Race identity;Social conditions;Study and teaching;,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,Cornell University.,Africana Studies and Research Center.,NCBS Conference,Cornell University),(1985 :,,19950707120000.0,,,,,,20040601;20141205;,a;m;,pd36;batch;,lts;lts;,?,?,addfast,,,,01599cgm a2200409 a 4500
2465687,20141205223257.0,vf|cbahou,941107s1985    nyu||| e          vleng d,(NIC)notisAMJ1559;(OCoLC)63989204;2465687;,NIC,NIC,NIC,n-us---,NCBS Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,[1985],11 videocassettes :,"sd., col. ;",1/2 in.,,"Title from videocassette label.;Videotaped live at Cornell University in 1985.;""121a-121k."";",,,,,,,,VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;African Americans;African Americans;African Americans;Racism;,,"Education, Higher.;Study and teaching;Social conditions.;Race identity.;",,United States.;United States.;,(OCoLC)fst00799607;(OCoLC)fst00799666;(OCoLC)fst00799698;(OCoLC)fst00799707;(OCoLC)fst01086616;,fast;fast;fast;fast;fast;,African Americans;African Americans;African Americans;African Americans;Racism;,Education (Higher);Race identity;Social conditions;Study and teaching;,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,Cornell University.,Africana Studies and Research Center.,NCBS Conference,Cornell University),(1985 :,,19950707120000.0,,,,,,20040601;20141205;,a;m;,pd36;batch;,lts;lts;,?,?,addfast,,,,01599cgm a2200409 a 4500
2465687,20141205223257.0,vf|cbahou,941107s1985    nyu||| e          vleng d,(NIC)notisAMJ1559;(OCoLC)63989204;2465687;,NIC,NIC,NIC,n-us---,NCBS Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,[1985],11 videocassettes :,"sd., col. ;",1/2 in.,,"Title from videocassette label.;Videotaped live at Cornell University in 1985.;""121a-121k."";",,,,,,,,VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;African Americans;African Americans;African Americans;Racism;,,"Education, Higher.;Study and teaching;Social conditions.;Race identity.;",,United States.;United States.;,(OCoLC)fst00799607;(OCoLC)fst00799666;(OCoLC)fst00799698;(OCoLC)fst00799707;(OCoLC)fst01086616;,fast;fast;fast;fast;fast;,African Americans;African Americans;African Americans;African Americans;Racism;,Education (Higher);Race identity;Social conditions;Study and teaching;,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,Cornell University.,Africana Studies and Research Center.,NCBS Conference,Cornell University),(1985 :,,19950707120000.0,,,,,,20040601;20141205;,a;m;,pd36;batch;,lts;lts;,?,?,addfast,,,,01599cgm a2200409 a 4500
2465687,20141205223257.0,vf|cbahou,941107s1985    nyu||| e          vleng d,(NIC)notisAMJ1559;(OCoLC)63989204;2465687;,NIC,NIC,NIC,n-us---,NCBS Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,[1985],11 videocassettes :,"sd., col. ;",1/2 in.,,"Title from videocassette label.;Videotaped live at Cornell University in 1985.;""121a-121k."";",,,,,,,,VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;African Americans;African Americans;African Americans;Racism;,,"Education, Higher.;Study and teaching;Social conditions.;Race identity.;",,United States.;United States.;,(OCoLC)fst00799607;(OCoLC)fst00799666;(OCoLC)fst00799698;(OCoLC)fst00799707;(OCoLC)fst01086616;,fast;fast;fast;fast;fast;,African Americans;African Americans;African Americans;African Americans;Racism;,Education (Higher);Race identity;Social conditions;Study and teaching;,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,Cornell University.,Africana Studies and Research Center.,NCBS Conference,Cornell University),(1985 :,,19950707120000.0,,,,,,20040601;20141205;,a;m;,pd36;batch;,lts;lts;,?,?,addfast,,,,01599cgm a2200409 a 4500
2465687,20141205223257.0,vf|cbahou,941107s1985    nyu||| e          vleng d,(NIC)notisAMJ1559;(OCoLC)63989204;2465687;,NIC,NIC,NIC,n-us---,NCBS Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,[1985],11 videocassettes :,"sd., col. ;",1/2 in.,,"Title from videocassette label.;Videotaped live at Cornell University in 1985.;""121a-121k."";",,,,,,,,VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;African Americans;African Americans;African Americans;Racism;,,"Education, Higher.;Study and teaching;Social conditions.;Race identity.;",,United States.;United States.;,(OCoLC)fst00799607;(OCoLC)fst00799666;(OCoLC)fst00799698;(OCoLC)fst00799707;(OCoLC)fst01086616;,fast;fast;fast;fast;fast;,African Americans;African Americans;African Americans;African Americans;Racism;,Education (Higher);Race identity;Social conditions;Study and teaching;,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,Cornell University.,Africana Studies and Research Center.,NCBS Conference,Cornell University),(1985 :,,19950707120000.0,,,,,,20040601;20141205;,a;m;,pd36;batch;,lts;lts;,?,?,addfast,,,,01599cgm a2200409 a 4500
2465687,20141205223257.0,vf|cbahou,941107s1985    nyu||| e          vleng d,(NIC)notisAMJ1559;(OCoLC)63989204;2465687;,NIC,NIC,NIC,n-us---,NCBS Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,[1985],11 videocassettes :,"sd., col. ;",1/2 in.,,"Title from videocassette label.;Videotaped live at Cornell University in 1985.;""121a-121k."";",,,,,,,,VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;African Americans;African Americans;African Americans;Racism;,,"Education, Higher.;Study and teaching;Social conditions.;Race identity.;",,United States.;United States.;,(OCoLC)fst00799607;(OCoLC)fst00799666;(OCoLC)fst00799698;(OCoLC)fst00799707;(OCoLC)fst01086616;,fast;fast;fast;fast;fast;,African Americans;African Americans;African Americans;African Americans;Racism;,Education (Higher);Race identity;Social conditions;Study and teaching;,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,Cornell University.,Africana Studies and Research Center.,NCBS Conference,Cornell University),(1985 :,,19950707120000.0,,,,,,20040601;20141205;,a;m;,pd36;batch;,lts;lts;,?,?,addfast,,,,01599cgm a2200409 a 4500
2465687,20141205223257.0,vf|cbahou,941107s1985    nyu||| e          vleng d,(NIC)notisAMJ1559;(OCoLC)63989204;2465687;,NIC,NIC,NIC,n-us---,NCBS Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,[1985],11 videocassettes :,"sd., col. ;",1/2 in.,,"Title from videocassette label.;Videotaped live at Cornell University in 1985.;""121a-121k."";",,,,,,,,VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;African Americans;African Americans;African Americans;Racism;,,"Education, Higher.;Study and teaching;Social conditions.;Race identity.;",,United States.;United States.;,(OCoLC)fst00799607;(OCoLC)fst00799666;(OCoLC)fst00799698;(OCoLC)fst00799707;(OCoLC)fst01086616;,fast;fast;fast;fast;fast;,African Americans;African Americans;African Americans;African Americans;Racism;,Education (Higher);Race identity;Social conditions;Study and teaching;,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,Cornell University.,Africana Studies and Research Center.,NCBS Conference,Cornell University),(1985 :,,19950707120000.0,,,,,,20040601;20141205;,a;m;,pd36;batch;,lts;lts;,?,?,addfast,,,,01599cgm a2200409 a 4500
2465687,20141205223257.0,vf|cbahou,941107s1985    nyu||| e          vleng d,(NIC)notisAMJ1559;(OCoLC)63989204;2465687;,NIC,NIC,NIC,n-us---,NCBS Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,[1985],11 videocassettes :,"sd., col. ;",1/2 in.,,"Title from videocassette label.;Videotaped live at Cornell University in 1985.;""121a-121k."";",,,,,,,,VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;African Americans;African Americans;African Americans;Racism;,,"Education, Higher.;Study and teaching;Social conditions.;Race identity.;",,United States.;United States.;,(OCoLC)fst00799607;(OCoLC)fst00799666;(OCoLC)fst00799698;(OCoLC)fst00799707;(OCoLC)fst01086616;,fast;fast;fast;fast;fast;,African Americans;African Americans;African Americans;African Americans;Racism;,Education (Higher);Race identity;Social conditions;Study and teaching;,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,Cornell University.,Africana Studies and Research Center.,NCBS Conference,Cornell University),(1985 :,,19950707120000.0,,,,,,20040601;20141205;,a;m;,pd36;batch;,lts;lts;,?,?,addfast,,,,01599cgm a2200409 a 4500
2465687,20141205223257.0,vf|cbahou,941107s1985    nyu||| e          vleng d,(NIC)notisAMJ1559;(OCoLC)63989204;2465687;,NIC,NIC,NIC,n-us---,NCBS Conference,,"[Cornell University, Africana Studies and Research Center].",[videorecording] /,,,,,,,,,,,,[1985],11 videocassettes :,"sd., col. ;",1/2 in.,,"Title from videocassette label.;Videotaped live at Cornell University in 1985.;""121a-121k."";",,,,,,,,VHS.,,,,,,,,,,,,,,,,,,,,,,African Americans;African Americans;African Americans;African Americans;Racism;,,"Education, Higher.;Study and teaching;Social conditions.;Race identity.;",,United States.;United States.;,(OCoLC)fst00799607;(OCoLC)fst00799666;(OCoLC)fst00799698;(OCoLC)fst00799707;(OCoLC)fst01086616;,fast;fast;fast;fast;fast;,African Americans;African Americans;African Americans;African Americans;Racism;,Education (Higher);Race identity;Social conditions;Study and teaching;,,,,,,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,Cornell University.,Africana Studies and Research Center.,NCBS Conference,Cornell University),(1985 :,,19950707120000.0,,,,,,20040601;20141205;,a;m;,pd36;batch;,lts;lts;,?,?,addfast,,,,01599cgm a2200409 a 4500
