100,245,511,505,700,518,IsBarnes,Location,formatted_date,formatted_title,Original Folder Name,New Folder Name
,00$aContrapunkt!$bnew music by undergraduate composers.,0\$aVarious perfomers.,"00$tFarewell and prayer /$rPallavi Basu (Pallavi Basu, piano) --$tThe blizzard /$rAndrew Bunyea (Vivian Li, piano) --$tThe place where music comes from (Carly Hodes) /$rCarly Hodes (Emilie Simoneau, mezzo-soprano ; Vivian Li, piano) --$tMonster (Sam Moghadam) /$rSam Moghadam (Sam Moghadam, voice and electric guitar) --$tTwo short piano pieces /$rMarwan Sledge (Marwan Sledge, piano) --$tA fury of notes for piano ;$tA fury of notes for clarinet and piano /$rLiza Sobel (Lenora Schneller, clarinet ; Bill Cowdery, piano) --$tSociety in chaos /$rRemanu Phillips (Remanu Phillips, piano) --$tSleepless /$rGreg Weisbrod (Greg Weisbrod, English horn) --$tThe geminate etudes /$rZachary Romeo (Zachary Romeo, piano) --$tAt the end of dawn /$rKadeem Gilbert (Ted Esposito, violin ; Tom Levine, cello ; Stephanie Quach, piano) --$tParticular floods, for chamber orchestra) /$rJulia Adolphe (Miriam Nussbaum, flute ; Greg Weisbrod, oboe ; Kimberly Banks, clarinet ; Sarah Furnish, bassoon ; Tyler Ogilvie, horn ; Eric Nathan, trumpet ; Steven Cooney, bass trombone ; Marco Schirripa, percussion ; Ada Jeon, piano ; Ellen Kogut and Maurice Chammah, violins ; Candy Amato, viola ; Tyler Borden, cello ; Joe Arcuri, bass ; Andrew Mattfeld, conductor).",,"\\$oRecorded$d2009 November 8,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/8/09 0:00,Contrapunkt!$bnew music by undergraduate composers.,20091108_Contrapunkt,
,"00$aMathieu Langlois, baroque flute, Dorian Bandy, baroque violin and viola.","0\$aMathieu Langlois, baroque flute ; Dorian Bandy, baroque violin and viola.","00$tQuartet for flute, viola, and clavier in D major, Wq. 94.$tAllegretto ;$tSehr langsam und ausgehalten ;$tAllegro di molto /$rCarl Philipp Emanuel Bach (with David Yearsley, fortepiano) --$tSymphony quintetto, after symphony no. 104 in D major (""London, ""Salomon""), Hob. I: 104.$tAdagio--allegro ;$tAndante ;$tMinuetto--minuetto 2do [trio] ;$tAllegro spirituoso /$rJoseph Haydn ; arr. Johann Peter Salomon (with Angela Early, violin ; Rosie Newton, viola ; Nicholas Walker, violone ; Blaise Bryski, fortepiano).","1\$aLanglois, Mathieu,$eperformer.;1\$aBandy, Dorian Komanoff,$eperformer.","\\$oRecorded$d2009 November 9,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/9/09 0:00,"Mathieu Langlois, baroque flute, Dorian Bandy, baroque violin and viola.",20091109_Langlois_Brandy,
,"00$aStefania Neonato, fortepiano :$bClementi grand piano in concert.","0\$aStefania Neonato, fortepiano.","00$tSonata in F-sharp minor, op. 25, no. 5.$tPiuttosto allegro con espressione ;$tLento e patetico ;$tPresto /$rMuzio Clementi --$tSonata in C major, op. 53 = (""Waldstein"").$tAllegro con brio ;$tIntroduzione: adagio molto ;$tRondo: allegretto moderato /$rLudwig van Beethoven.","1\$aNeonato, Stefania,$eperformer.","\\$oRecorded$d2009 November 11,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/11/09 0:00,"Stefania Neonato, fortepiano: Clementi grand piano in concert.",20091111_Stefania_Neonato,
,00$aStudent chamber music recital.,0\$aVarious performers.,"00$tBallade no. 1 in G minor, op. 23 /$rFr{acute}ed{acute}eric Chopin (Annabel Suh, piano) --$tPiano trio in C minor, op. 1, no. 3.$tAllegro con brio ;$tAndante cantabile con variazioni ;$tMenuetto: quasi allegro ;$tFinale: prestissimo /$rLudwig van Beethoven (Annabel Suh, piano ; Yvonne Chang, violin ; Navin Sivakumar, cello) --$tFrom Fairy tales, for clarinet, viola and piano, op. 132 :$tLebhaft, nicht zu schnell ;$tLebhaft und sehr markirt ;$tRuhiges tempo, mit zartem Ausdruck /$rRobert Schumann (Jonathan Felbinger, clarinet ; Hannah de Kleer, viola ; Miri Yampolsky, piano) --$tTrio in A minor for clarinet, cello and piano, op. 114.$tAllegro ;$tAdagio ;$tAndantino grazioso ;$tAllegro /$tJohannes Brahms (Kenny Kang, clarinet ; Jonathan Auerbach, cello ; Robert Toha, piano).",,"\\$oRecorded$d2009 November 15,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/15/09 0:00,Student chamber music recital.,20091115_Student_Chamber_Music_Recital,
,00$aCornell Chamber Singers.,"0\$aCornell Chamber Singers ; Holland Jancaitis, conductor ; William Cowdery, organ.","00$tCantata: Aus tiefer Not, schrei' ich zu dir, op. 23, no. 1.$tAus tiefer Not (chorale) ;$tAus tiefer Not (fugue)$r(Jonathan Ivers, tenor) ;$tBei dir gilt nichts$tOb bei uns ist der St{uml}unden viel$r(Beck Sopchak, alto ; Tyler Coatney, tenor ; Geoff Royall, bass) /$rFelix Mendelssohn --$tRequiem: Seele, vergi{C7} sie nicht /$rPeter Cornelius --$tLe reniement de St. Pierre /$rMarc-Antoine Charpentier (Jesus: Jonathan Ivers ; Historicus: Geoff Royall ; Petrus: Jonathan Kienzle ; Ostiaria: Jennifer Henion ; Ancilla: Liz Peters ; Malchi: Michael Clarkson) --$tWhich was the son of... /$rArvo P{uml}art.","1\$aJancaitis, Holland,$eperformer.;1\$aCowdery, William,$eperformer.","\\$oRecorded$d2009 November 15,$pFirst Unitarian Society, Ithaca, New York.",FALSE,Unitarian,11/15/09 0:00,Cornell Chamber Singers.,,
,00$aFaculty chamber music concert.,0\$aVarious performers.,"00$tSonata for cello and piano in C major, op. 102, no. 1.$tAndante--allegro vivace ;$tAdagio--tempo d'andante--allegro vivace /$rLudwig van Beethoven (John Haines-Eitzen, cello ; Miri Yampolsky, piano) --$tSongs without words, op. 62, nos. 1, 3, 5 /$rFelix Mendelssohn (Miri Yampolsky and Xak Bjerken, piano) --$tFrom Spanisches Liederbuch :$tSie blasen zum Abmarsch ;$tBedeckt mich mit Blumen ;$tHerr, was tr{uml}agt der Boden hier ;$tDie ihr schwebet um diese Palmen ;$tAlle gingen, Herz zer Ruh ;$tIn dem Schatten meiner Locken /$rHugo Wolf (Judith Kellock, soprano ; Blaise Bryski, piano) --$tPartita (1984).$tAllegro ;$tAd libitum ;$tLargo ;$tAd libitum ;$tPresto /$rWitold Lutoslawski (Joseph Lin, violin ; Miri Yampolsky, piano).",,"\\$oRecorded$d2009 November 16,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/16/09 0:00,Faculty chamber music concert.,20091116_Faculty_Chamber_Music_Concert,
,"00$aCornell Contemporary Chamber Players, Israeli Chamber Project.","0\$aCornell Contemporary Chamber Players (Peter Fahey, Amit Gilutz, Takuma Itoh, Jesse Jones and Eric Nathan, directors) ; Israeli Chamber Project (Tibi Cziger, clarinet ; Sivan Magen, harp ; Gal Nyska, cello ; Assaff Weisman, piano ; Itamar Zorman, violin).","00$tArchipel, for clarinet, violin, and cello : (2009).$tfor Collin--meccanico ;$tfor Jenalie--molto lento ;$tfor Finley--con gioia /$rChristopher Stark --$tMusic for clarinet, violin, violoncello and harp (2009) /$rCharles Cacioppo --$t...In between, for bass clarinet, harp, piano, violin and cello : (2009) /$rTaylan Cihan --$tStorm's morrow: six pieces for harp after Haiku poetry : (2006) /$rAmit Gilutz --$tSnippet variations, for clarinet, violin, cello and piano : (2009) /$rJesse Jones.",,"\\$oRecorded$d2009 November 13,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/19/09 0:00,"Cornell Contemporary Chamber Players, Israeli Chamber Project.",20091113_Cornell_Contemporary_Chamber_Players,
"1\$aHaydn, Joseph,$d1732-1809.","10$aHaydn Festival :$bchamber music and ""drum roll.""",0\$aVarious performers.,"00$tSonata in E minor, Hob. 34.$tPresto ;$tAdagio ;$tVivace molto (innocentemente)$r(Malcolm Bilson, fortepiano) --$tDer Augenblick ;$tDer Greis ;$tAlles hat seine Zeit ;$tAbendlied zu Gott$r(Judith Kellock, soprano ; Julia Adolphe, alto ; Thom Baker, tenor ; John Rowehl, bass ; Chi-Chen Wu, fortepiano) --$tString quartet in F minor, op. 55, no. 2.$tAndante o piu tosto allegretto ;$tAllegro ;$tMenuet: allegretto ;$tFinale: presto$r(Nicholas DiEugenio and Bee-Seon Keum, violins ; Joseph Lin, viola ; John Haines-Eitzen, cello) --$tPiano trio in A major, Hob. 18.$tAllegro moderato ;$tAndante ;$tAllegro$r(Malcolm Bilson, fortepiano ; Joseph Lin, violin ; John Haines-Eitzen, cello) --$tSymphony no. 103 in E-flat major : (""Drum roll"").$tAdagio--allegro con spirito ;$tAndante pi{grave}u tosto allegretto ;$tMenuetto ;$tFinale: allegro con spirito$r(Ithaca College Chamber Orchestra ; Jeff Meyer, conductor).",,"\\$oRecorded$d2009 November 20,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/20/09 0:00,"Haydn Festival: chamber music and ""drum roll.""",20091120_Haydn_Festival_Day_1,
"1\$aHaydn, Joseph,$d1732-1809.",10$aHaydn Festival :$bCornell Chamber Orchestra.,"0\$aCornell Chamber Orchestra ; Chris Younghoon Kim, conductor ; Malcolm Bilson, fortepiano.","00$tOvertures (sinfonias) in D major, Hob. Ia:6, I:106.$tAdagio maestoso--presto ;$tAndante ;$tAllegro /$r(Damien Mahiet, conductor) --$tKeyboard concerto in G major, Hob. XVIII:4.$tAllegro ;$tAdagio ;$tFinale: rondo (presto) /$r(with Mr. Bilson) --$tSymphony no. 45 in F-sharp minor, Hob. I:45 : (""Farewell"").$tAllegro assai ;$tAdagio ;$tMenuet: allegretto ;$tFinale: presto--adagio.","1\$aKim, Chris Younghoon,$eperformer.;1\$aBilson, Malcolm,$eperformer.","\\$oRecorded$d2009 November 21,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/21/09 0:00,Haydn Festival: Cornell Chamber Orchestra.,20091121_Haydn_Festival_Day_2,
"1\$aHaydn, Joseph,$d1732-1809.",10$aHaydn Festival :$bCornell Chorale,"0\$aCornell Chorale ; Holland Jancaitis, conductor ; Cornell Symphony Orchestra ; Chris Younghoon Kim, director.","00$tMissa in angustiis : (""Lord Nelson"" mass) : Hob. XXII:11.$tKyrie ;$tGloria ;$tCredo ;$tSanctus ;$tBenedictus ;$tAgunus Dei /$r(Melanie Scafide Russell, soprano ; Sylvia Aiko Rider, alto ; Steven Caldicott Wilson, tenor ; John Mark Chambers, baritone).","1\$aJancaitis, Holland,$econductor.;1\$aKim, Chris Younghoon.","\\$oRecorded$d2009 November 22,$pSage Chapel, Cornell University.",FALSE,Sage,11/22/09 0:00,Haydn Festival: Cornell Chorale,,
,"00$aCornell University Wind Symphony, Cornell University Percussion Ensemble.","0\$aCornell University Wind Symphony ; Cynthia Johnston Turner, conductor ; Cornell University Percussion Ensemble ; Timothy Feeney, director.","00$tFrom Amores: III /$rJohn Cage --$tSymphonic songs for band /$rRobert Russell Bennett --$tFrom Amores : II /$rCage --$tSasha takes a train /$rKim Portnoy --$tFrom Symphony no. 5 : II ; III /$rLou Harrison --$tConcertino for four percussion and wind ensemble /$rDavid Gillingham (Thomas Weber, Chase Rakowski, Ian Chen, and Ian Goldin, percussion).","1\$aJohnston Turner, Cynthia,$eperformer.;1\$aFeeney, Tim.","\\$oRecorded$d2009 November 22,$pBailey Hall, Cornell University.",FALSE,Bailey,11/22/09 0:00,"Cornell University Wind Symphony, Cornell University Percussion Ensemble.",,
,00$aStudent chamber music recital.,0\$aVarious performers.,"00$tFrom Last poems of Wallace Stevens : (1972) :$tNot ideas about the thing but the thing itself ;$tA child asleep in its own life ;$tThe dove in spring ; Interlude ;$tOf mere being ;$tA clear day and no memories /$rNed Rorem (Sarah Robinson, soprano ; Sarah Smith, cello ; Stephen Bowden, piano) --$tSonata no. 1 in F minor for violin and piano, op. 80.$tAndante assai ;$tAllegro brusco ;$tAndante ;$tAllegrissimo--andante assai, come prima /$rSergei Prokofiev (Bee-Seon Keum, violin ; Daniel Anastasio, piano).",,"\\$oRecorded$d2009 December 1,$pBarnes Hall, Cornell University.",TRUE,Barnes,12/1/09 0:00,Student chamber music recital.,2009121_Student_Chamber_Music_Recital,
,00$aStudio 342 :$bvoice students of Judith Kellock.,"0\$aVarious vocalists ; Blaise Bryski, coach ; Chi-Chen Wu and Holland Jancaitis, pianists.","00$tFrom Cosi fan tutte :$tDonne mie, le fate a tanti /$rWolfgang Amadeus Mozart (Guglielmo: John Chambers) --$tFrom Norge--fem digte af John Paulsen, op. 58 :$tTuristen /$rEdvard Grieg ; From Spanisches Liederbuch :$tTief im Herzen trag' ich Pein /$rHugo Wolf (Emilie simoneau, mezzo-soprano) --$tFrom Die Fledermaus :$tMein Herr Marquis = (""The laughing song"") /$rJohann Strauss (Adele: Sarah Ajaeb) --$tThe sky above the roof (Paul Verlaine) /$rRalph Vaughan Williams --$tFrom The pilgrim's progress (Psalms, Isaiah) :$tWatchful's song (Nocturne) /$rVaughan Williams (Daniel Schug, tenor ; Ryan Caira, piano) --$tFrom Gianni Schicchi :$tOh mio babbino caro /$rGiacomo Puccini (Lauretta: Rosa Von Gleichen) --$tFrom Lakm{acute}e :$tSous le d{circ}ome {acute}epais = (""The flower duet"") /$rL{acute}eo Delibes  (Lakm{acute}e: Rosa Von Gleichen ; Malika: Julia Adolphe) --$tOn the beach at Fontana (James Joyce) /$rRoger Sessions (Julia Adolphe, soprano) --$tFrom The aids quilt songbook :$tI never knew (Gordon) /$rRicky Ian Gordon (John Chambers, baritone) --$tFrom Le nozze di Figaro :$tGiunse alfin il momento ;$tDeh vieni non tardar /$rWolfgang Amadeus Mozart (Susanna: Kristina Brooks) --$t Piet{grave}a, signore /$rAnonymous (attrib. Stradella) (Christos Nicholoudis, tenor) --$tFrom Twelve poems of Emily Dickinson :$tGoing to heaven /$rAaron Copland ;$tFrom The medium :$tMonica's waltz /$rGian Carlo Menotti (Liza Sobel, soprano) --$tIf music be the food of love /$rHenry Purcell (Erin Goers, soprano) --$tVittoria, vittoria! /$rGiacomo Carissimi ;$tFrom South Pacific (Richard Rogers) :$tYounger than springtime /$rOscar Hammerstein (Aaron Sprecher, bass-baritone) --$tFrom Die Entf{uml}uhrung aus dem Serail :$tDurch Z{uml}artlichkeit und Schmeicheln ;$tWelche Wonne, welche Lust /$rMozart (Blondchen: Sarah Robinson) --$tFrom Samson et Dalila :$tMon coeur s'ouvre {grave}a ta voix /$rCamille Saint-Sa{uml}ens (Dalila: Emilie Simoneau).","1\$aKellock, Judith.;1\$aBryski, Blaise,$eperformer.;1\$aWu, Chi-Chen,$eperformer.;1\$aJancaitis, Holland,$eperformer.","\\$oRecorded$d2009 December 2,$pBarnes Hall, Cornell University.",TRUE,Barnes,12/2/09 0:00,Studio 342: voice students of Judith Kellock.,2009122_Voice_Students_of_Judith_Kellock,
,00$aStudio recital :$bpiano students of Xak Bjerken.,0\$aVarious performers.,"00$tBallade in G minor, op. 23 /$rFr{acute}ed{acute}eric Chopin (Annabell Suh) --$tFrom English suite no. 6 in D minor, BWV 811 :$tPrelude /$rJohann Sebastian Bach (Robert Toha) --$tSonata in F minor, op. 1 /$rSergei Prokofiev (Albert Zhang) --$tIntermezzo in A-flat major /$rFrancis Poulenc (Irene Shao) --$tFrom Moments musicaux, op. 16 :$tNo. 3 in B minor ;$tNo. 4 in E minor /$rSergei Rachmaninoff (Stephen Bowden) --$tFrom Sonata for piano (1952) :$tAllegro marcato /$rAlberto Ginastera (Jesse Jones) --$tConcerto no. 1 in E-flat major, S. 124.$tAllegro maestoso ;$tQuasi adagio--allegretto vivace ;$tAllegro marziale animato /$rFranz Liszt (Jennifer Huang ; Jesse Jones, orchestra) --$tFrom Sonata in C minor, Hob. XVI: 20 :$tAllegro moderato /$rJoseph Haydn (Daniel Anastasio) --$tNocturne in C minor, op. 48 /$rChopin (Damien Mahiet) --$tFrom Fantasiest{uml}ucke, op. 12 :$rDes Abends ;$tIn der Nacht ;$tWarum?$tEnde vom Lied /$rRobert Schumann (Hu Fu) --$tBallade in A-flat major, op. 47 /$rChopin (Sharon Lau) --$tFrom Sonata in B-flat minor, op. 36 /$rRachmaninoff (Yinou Tang).",,"\\$oRecorded$d2009 December 3,$pBarnes Hall, Cornell University.",TRUE,Barnes,12/3/09 0:00,Studio recital: piano students of Xak Bjerken.,2009123_Studio_Recital_Piano_Students_of_Xak_Bjerken,
,00$aStudio recital :$bviolin students of Joseph Lin.,"0\$aVarious performers ; Chi-Chen Wu, piano.","00$tButterfly lovers concerto (Liang Shan Bo Yu Zhu Ying Tai) /$rHe Zhan Hao, Chen Gang (Elaine Higashi, with Graeme Bailey) --$tFrom Concerto in E minor, op. 64 :$tAllegro molto appassionato /$rFelix Mendelssohn (Marit Imsdahl, with Solveig Imsdahl) --$tRomance in F major.$tAllegro /$rLudwig van Beethoven (Katie Bobroske) --$tTzigane /$rMaurice Ravel (Will Moseson) --$tFrom Symphonie Espagnole in D minor, op. 21 :$tAllegro non troppo /$rEdouard Lalo (Carol Tsang) --$tZigeunerweisen /$rPablo de Sarasate (Aaron Wexler) --$tFrom Concerto in D minor, op. 35 :$tAllegro moderato /$rPiotr Ilyich Tchaikovsky (Thomas Collum).","1\$aWu, Chi-Chen,$eperformer.","\\$oRecorded$d2009 December 5,$pBarnes Hall, Cornell University.",TRUE,Barnes,12/5/09 0:00,Studio recital: violin students of Joseph Lin.,,
