AccessionNumber,ID NUMBER,KALTURA ID,dc.contributor.author 1,dc.contributor.author 2,dc.contributor.author 3,dc.contributor.author 4,dc.contributor.author 5,dc.contributor.author 6,dc.contributor.author 7,dc.contributor.author 8,dc.contributor.other,dc.date.created,dc.description,dc.description.abstract,dc.description.tableOfContents,dc.format.extent,dc.language.iso,dc.subject.lcsh 1,dc.subject.lcsh 2,dc.subject.lcsh 3,dc.subject.lcsh 4,dc.subject.lcsh 5,dc.subject.lcsh 6,dc.subject.other,dc.title,dc.title.alternative,dc.type
3601627,CUL_Lectures_CU_1266_AM_1_1 | CUL_Lectures_CU_1266_AM_1_2,1_i3nflxcg | 1_vz8wappc,"Bishop, Jonathan",,,,,,,,,1982-11-30,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Graduate Literature Club., Lecture, November 30, 1982.",Bishop discusses contemporary literature from Fitzgerald to Diddeon as a frame for absolution.,,60 minutes,eng,"Literature, Modern--History and criticism","Comparative literature--Themes, motives",Faith in literature,Absolution,,,,Imagination as faith,,Sound
3601632,CUL_Lectures_CU_1271_AM_1_1 | CUL_Lectures_CU_1271_AM_1_2,1_zghx9uzw | 1_i1cxh7fl,"Padella, Herberto",,,,,,,,,1982-12-07,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Cuban Student Society,Latin American Studies Program,Student Finance Commission., Lecture, December 7, 1982.","Padella discusses the role of the writer in communist Cuba where he is seen not as a hero, but as an unglorified contributor to social justice.",,80 minutes,eng,"Authors, Cuban",Cuban literature--20th century,Cuba--Intellectual life,,,,1900 - 1999,The role of the writer in Cuba,,Sound
3601638,CUL_Lectures_CU_1277_AM_1_1 | CUL_Lectures_CU_1277_AM_1_2,1_89w0epih | 1_8vqrbtwg,"Kahn, Wolf, 1927-",,,,,,,,,1983-02-09,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Council on the Creative and Performing Arts., Lecture, February 9, 1983.","Kahn discusses current, important issues in art and relates them to contemporary examples in painting.",,60 minutes,eng,"Art--Themes, motives","Painting--Themes, motives",,,,,,Restlessness and stability in present day painting,,Sound
3601647,CUL_Lectures_CU_1285_AM_1_1 | CUL_Lectures_CU_1285_AM_1_2,1_7e05icjy | 1_eyc1dcnv,"Friman, Alice R.",,,,,,,,,1983-02-17,"Recorded in Ithaca, NY by Cornell University., Sponsored by: English, Department of., Reading, February 17, 1983.","Friman reads three poems which deal with different aspects of the life of King Midas, the man who was given the ""golden touch"".",,60 minutes,eng,"Poetry--Themes, motives","Mythology, Classical",Midas (Legendary character),,,,,Alice R. Friman reads her own poetry,,Sound
3601488,CUL_Lectures_CU_1311_AM_1_1 | CUL_Lectures_CU_1311_AM_1_2,1_nkzqr7ng | 1_n50h220w,"Lutosławski, Witold, 1913-1994",,,,,,,,,1983-03-10,"Recorded in Ithaca, NY by Cornell University., Sponsored by: University Lectures Committee., Lecture, March 10, 1983.",Lutoslawski discusses the construction of music in the past and explains how the past affects the future of music.,,55 minutes,eng,Music--History and criticism,Music--20th century,,,,,1900 - 1999,Thoughts on the future of music,,Sound
3601498,CUL_Lectures_CU_1321_AM_1_1 | CUL_Lectures_CU_1321_AM_1_2,1_dog7a0zl | 1_43icl39s,"Benítez Rojo, Antonio, 1931-2005",,,,,,,,,1983-03-17,"Recorded in Ithaca, NY by Cornell University., Lecture, March 17, 1983.",Benitez-Rojo describes the Caribbean influence on Cuban culture.,,57 minutes,eng,Cuban literature--20th century,Cuba--Intellectual life,Cuba--Civilization--Caribbean influences,,,,1900 - 1999,La cultura caribena en la Cuba actual: continuidad versus reptura,,Sound
3601499,CUL_Lectures_CU_1322_AM_1_1 | CUL_Lectures_CU_1322_AM_1_2,1_52tq6bgm | 1_ygx2t5by,"Woodring, Carl, 1919-2009",,,,,,,,,1983-03-17,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, March 17, 1983.",Woodring defines the age of romanticism.,,37 minutes,eng,,,,,,,,On being half romantic,,Sound
3601518,CUL_Lectures_CU_1342_AM_1_1 | CUL_Lectures_CU_1342_AM_1_2,1_q8sw0858 | 1_e2mfdrtx,"Marinaro, Ed, 1950-",,,,,,,,,1983-04-15,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Interfraternity Council,Dean of Students Office,Graduate School,Council on the Creative and Performing Arts,The Theatre of Ideas., Speaker(s): Former actor on ""Hill Street Blues"", Alumnus of Cornell., Lecture, April 15, 1983.","Marinaro talks of his career as a pro football player and as an actor, explaining the adjustment from athlete to actor.",,,eng,,,,,,,,"All the world's a stage: an insider's perspective on ""Hill Street Blues""",,Sound
3601523,CUL_Lectures_CU_1347_AM_1_1 | CUL_Lectures_CU_1347_AM_1_2,1_5wv3m7hj | 1_uzj1sko1,"Vonnegut, Kurt",,,,,,,,,1983-04-17,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Sigma Phi Fraternity,Cornell Daily Sun,University Unions Programming Board., Lecture, April 17, 1983.","Vonnegut describes life as a Cornell undergraduate and the way to become a ""successful"" writer.",,85 minutes,eng,,,,,,,,"Kurt Vonnegut, Jr. lectures about his work",James Norris Oliphant distinguished speakers.,Sound
3604576,CUL_Lectures_CU_1350_AM_1_1 | CUL_Lectures_CU_1350_AM_1_2 | CUL_Lectures_CU_1350_AM_2_1,1_0v1u0oy1 | 1_r1sujbmh | 1_kxr9y12b,"Derrida, Jacques",,,,,,,,,1983-04-19,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program., Lecture, April 19, 1983.","Derrida discusses a university's ""reason to be"", its meaning and distinction.",,100 minutes,eng,Universities and colleges--Evaluation,"Education, Higher--Aims and objectives",,,,,,The principle of reason and the idea of the university,Andrew D. White Professors-At-Large lectures.,Sound
3601554,CUL_Lectures_CU_1379_AM_1_1,1_lnzsmygb,"Cook, Alice",,,,,,,,,1983-07-28,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Cook is professor emerita in the New York State School of Industrial and Labor Relations., Lecture, July 28, 1983.",Cook explores the dimensions of women's increased labor force participation in the United States.,,,eng,"Women--Legal status, laws, etc",Women--Employment,,,,,,1984: women in the workplace,,Sound
3601559,CUL_Lectures_CU_1384_AM_1_1 | CUL_Lectures_CU_1384_AM_1_2,1_29rlrpxh | 1_tb5phjdh,"Barańczak, Stanisław, 1946-2014",,,,,,,,,1983-09-12,"Recorded in Ithaca, NY by Cornell University., Lecture, September 12, 1983.",Baranczak discusses the effect of martial law on poetry in Poland.,,55 minutes,eng,Polish poetry--20th century,Politics and literature,Martial law--Poland,Poland--Intellectual life--1945-,,,Since 1900,Polish poetry under martial law,,Sound
3601570,CUL_Lectures_CU_1396_AM_1_1 | CUL_Lectures_CU_1396_AM_1_2,1_zux9pzk2 | 1_qn6vf1f1,"McGovern, George S. (George Stanley), 1922-2012",,,,,,,,,1983-09-29,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Frontlash., Lecture, September 29, 1983.",McGovern describes his plans if elected in 1984 and discusses some of the problems facing the Reagan administration.,,90 minutes,eng,,,,,,,,Presidential forum: George McGovern,,Sound
3601389,CUL_Lectures_CU_1405_AM_1_1,1_31lp4ile,"Robeson, Paul, 1898-1976",,,,,,,,,1983-10-05,"Recorded in Ithaca, NY by Cornell University., Lecture, October 5, 1983.",Robeson introduces two films of his father's which present views of the black actor.,,,eng,"Robeson, Paul, 1898-1976",American drama--Afro-American actors,African American actors,,,,,Commentary on two films,,Sound
3601415,CUL_Lectures_CU_1437_AM_1_1 | CUL_Lectures_CU_1437_AM_1_2,1_tc3xqqzy | 1_xjuz23tf,"Angelakē-Rouk, Katerina",,,,,,,,,1983-11-07,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Hellenic Student Association,Ithaca Community Poets., Reading, November 7, 1983.",Anghelaki-Rooke's poems recall her Greek ancestry.,,60 minutes,eng,"Poetry--Themes, motives","Poets, Greek (Modern)","Greek poetry, Modern",,,,,Katerina Anghelaki-Hook reads her own poetry,,Sound
3601424,CUL_Lectures_CU_1446_AM_1_1 | CUL_Lectures_CU_1446_AM_1_2,1_p74c15fg | 1_qhqrmkb4,"Brant, Beth, 1941-2015",,,,,,,,,1983-11-11,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Women's Studies Program., Reading, November 11, 1983.",Brant reads and discusses a selection of poetry written by Native American women.,,70 minutes,eng,Women authors,Indians of North America--Poetry,Indian poetry,,,,,A gathering of spirit: a reading of North American Indian womens' writing,,Sound
3601455,CUL_Lectures_CU_1477_AM_1_1,1_lvq0wcmk,"Stoddard, Thomas B.",,,,,,,,,1983-12-08,"Recorded in Ithaca, NY by Cornell University., Lecture, December 8, 1983.","Stoddard describes gay rights at both the federal and state levels, as well as at Cornell University.",,,eng,Civil rights--United States,Discrimination in education,Gay rights,,,,,"Gay people and civil rights: how far, how fast",,Sound
3601458,CUL_Lectures_CU_1480_AM_1_1 | CUL_Lectures_CU_1480_AM_1_2,1_yx45hn8z | 1_cupb47cc,"Gates, Henry Louis, Jr.",,,,,,,,,1983-12-15,"Recorded in Ithaca, NY by Cornell University., Sponsored by: English, Department of., Lecture, December 15, 1983.",Gates discusses black writing styles.,,80 minutes,eng,"Authors, Black","Comparative literature--Themes, motives",,,,,,"Race, writing and difference",,Sound
3601474,CUL_Lectures_CU_1497_AM_1_1 | CUL_Lectures_CU_1497_AM_1_2,1_fxlwn4x1 | 1_v3apecfc,"Porter, Katherin Anne",,,,,,,,,1984-02-06,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Art, Department of., Lecture, February 6, 1984.",Porter discusses her artwork.,,60 minutes,eng,"Porter, Katherine Anne, 1890-1980",Women artists,Artists--United States,,,,,Lecture on her work,,Sound
3601347,CUL_Lectures_CU_1517_AM_1_1 | CUL_Lectures_CU_1517_AM_1_2,1_1in7j8i8 | 1_iv5dett3,"Wettig-Danielmeier, Inge, 1936-",,,,,,,,,1984-02-24,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Peace Studies Program,Women's Studies Program., Lecture, February 24, 1984.",Wettig-Danielmeier dicusses the role of women in West German politics and the peace movement.,,85 minutes,eng,"Peace--Societies, etc",Women and peace,Germany (West)--Politics and government,,,,,Women and the West German peace movement,,Sound
3601348,CUL_Lectures_CU_1518_AM_1_1 | CUL_Lectures_CU_1518_AM_1_2,1_29gcq5i4 | 1_7dqyf9f5,"Ba-Yunus, Ilyas",,,,,,,,,1984-02-24,"Recorded in Ithaca, NY by Cornell University., Lecture, February 24, 1984.",Ba-Yunus presents a personal assessment of the current state of Islam in the Middle East.,,70 minutes,eng,Islam--Doctrines,Islam and politics,,,,,,Alternative choices: solutions to modern man's problems,,Sound
3601352,CUL_Lectures_CU_1522_AM_1_1 | CUL_Lectures_CU_1522_AM_2_1,1_0j85mc7m | 1_htcfpr7w,"Burak, David, 1945-","Saake, Ruby","Munday, Reuben","McConkey, James",,,,,,1984-02-28,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Interfraternity Council,Ujamaa Residential College,Willard Straight Hall Programming Board., Lecture, February 28, 1984.",Panel looks back on the Willard Straight Hall takeover from various perspectives.,,105 minutes,eng,Cornell University--History--20th century,Students--Political activity,Discrimination in education,,,,1900 - 1999,The seizure of Willard Straight Hall and its meaning for today: a fifteen year retrospective,,Sound
3601360,CUL_Lectures_CU_1530_AM_1_1 | CUL_Lectures_CU_1530_AM_1_2,1_3im3n4lu | 1_qu0yotrl,"Kennedy, Florynce, 1916-2000",,,,,,,,,1984-03-02,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Women's Law Coalition,Women's Studies Program,Architecture, Art and Planning, College of,Vice-President of Campus Affairs, Research and Advanced Studies,ABA-Law, Student Division., Lecture, March 2, 1984.","Kennedy describes the ""place"" of women in the legal profession.",,59 minutes,eng,Feminism,"Women--Legal status, laws, etc",Women--Political activity,,,,,Feminist activism and the law,,Sound
3601373,CUL_Lectures_CU_1543_AM_1_1 | CUL_Lectures_CU_1543_AM_1_2,1_sjymt445 | 1_vbz46rb4,"Lowi, Theodore J.","Ginsberg, Benjamin",,,,,,,,1984-03-06,"Recorded in Ithaca, NY by Cornell University., Lecture, March 6, 1984.",Lowi and Ginsberg discuss the possibility and probability of Reagan being defeated in the upcoming election.,,90 minutes,eng,United States. President (1981-1989 : Reagan),"Politics, Practical",Elections--Presidents--United States,,,,,Can Anyone Defeat Reagan?,,Sound
3601375,CUL_Lectures_CU_1545_AM_1_1 | CUL_Lectures_CU_1545_AM_1_2,1_ziurifhi | 1_25nsbavg,"Howard, Michael",,,,,,,,,1984-03-07,"Recorded in Ithaca, NY by Cornell University., Sponsored by: University Lectures Committee., Lecture, March 7, 1984.",Howard examines the weaknesses of the United States' foreign policy.,,80 minutes,eng,,,,,,,,The United States and the Wider World,,Sound
3601378,CUL_Lectures_CU_1548_AM_1_1 | CUL_Lectures_CU_1548_AM_1_2,1_3vowcfdc | 1_t1rideon,"Dubelman, Richard",,,,,,,,,1984-03-07,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Sigma Phi Fraternity,Ithaca Filmmakers at Cornell (IFMAC),Willard Straight Hall Programming Board., Lecture, March 7, 1984.","Dubelman gives a professional's perspective on writing, producing, and directing for the motion picture and television industry.",,65 minutes,eng,Motion pictures--Production and direction,Motion picture industry--United States,,,,,,"Producing, directing, writing movies",James Norris Oliphant distinguished speakers.,Sound
3602463,CUL_Lectures_CU_1556_AM_1_1 | CUL_Lectures_CU_1556_AM_1_2,1_ey12gv8r | 1_zxbikq1u,"Mbata, J. Congress",,,,,,,,,1984-03-12,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Interreligious International Ministries Committee (IRIM),Center for World Community., Lecture, March 12, 1984.",,,80 minutes,eng,,,,,,,,"USA, developing nations and world community",,Sound
3601313,CUL_Lectures_CU_1560_AM_1_1 | CUL_Lectures_CU_1560_AM_1_2,1_5ugzarfs | 1_vrmf0ip2,"Mbata, J. Congress",,,,,,,,,1984-03-14,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Interreligious International Ministries Committee (IRIM),Center for World Community., Lecture, March 14, 1984.","Mbata presents his view of a future ""global village"".",,75 minutes,eng,International relations,United States--Foreign relations,Developing countries,,,,,"USA, developing nations and world community, part 2",,Sound
3601299,CUL_Lectures_CU_1565_AM_1_1 | CUL_Lectures_CU_1565_AM_1_2,1_5wue027r | 1_dsqvwt65,"López-Baralt, Mercedes",,,,,,,,,1984-03-15,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Romance Studies, Department of,Society for the Humanities,American Studies Program,Women's Studies Program,Arts and Sciences, College of., Lecture, March 15, 1984.",Lopez-Baralt traces the history and development of European iconography and emblems in the New World.,,45 minutes,eng,Christian art and symbolism,Icons,Mythology,,,,,"The political iconography of the new world: the foundation myth in Catholic, Protestant and Native icons",Political iconography of the New World.,Sound
3601337,CUL_Lectures_CU_1587_AM_1_1,1_ny1e4pvk,"Cotton, Dorothy",,,,,,,,,1984-04-09,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Center for World Community,Interreligious International Ministries Committee (IRIM)., Lecture, April 9, 1984.",Cotton discusses the need for global understanding between nations.,,45 minutes,eng,Peace,Civil rights,Liberty,,,,,Ways toward peace in the world community,,Sound
3601326,CUL_Lectures_CU_1602_AM_1_1 | CUL_Lectures_CU_1602_AM_1_2,1_1p3azy64 | 1_9pfl9nsh,"Mari Bras, Juan",,,,,,,,,1984-04-11,"Recorded in Ithaca, NY by Cornell University., Lecture, April 11, 1984.",Bras discusses the United States' dominance of Puerto Rico and its resistance to granting independence to the island.,,55 minutes,eng,United States--Foreign relations--Latin America,Puerto Rico--Politics and government,Latin America--Politics and government,,,,,Lecture on current Latin American politics,,Sound
3601108,CUL_Lectures_CU_1613_AM_1_1 | CUL_Lectures_CU_1613_AM_1_2,1_vvoedvgl | 1_3ch039f5,"Certeau, Michel de",,,,,,,,,1984-04-16,"Recorded in Ithaca, NY by Cornell University., Sponsored by: University Lectures Committee., Lecture, April 16, 1984.",deCerteau discusses the role of belief in primitive cultures.,,90 minutes,eng,Belief and doubt,"Belief, Problem of (Literature)",Anthropology,,,,,The problem of believing preliminaries to an historical anthropology of believability,,Sound
3601310,CUL_Lectures_CU_1615_AM_1_1 | CUL_Lectures_CU_1615_AM_1_2,1_af67tbv8 | 1_jkebyw1o,"York, Herbert F. (Herbert Frank)",,,,,,,,,1984-04-17,"Recorded in Ithaca, NY by Cornell University., Lecture, April 17, 1984.",York describes the nuclear arms race and the problems inherent in dealing with it.,,45 minutes,eng,Nuclear warfare--Social aspects,Arms race,,,,,,The nuclear arms race: why it is so hard to deal with,Nuclear symposium.|Messenger lectures.,Sound
