001,005,007,008,035_##$a,040_##$a,040_##$c,040_##$d,045_##$a,100_1#$a,100_1#$c,100_1#$d,100_1#$q,240_10$a,240_10$l,245_10$a,245_10$b,245_10$h,245_12$a,245_12$h,245_13$a,245_13$h,245_14$a,245_14$h,260_##$c,300_##$a,300_##$b,500_##$a,505_0#$a,510_4#$a,510_4#$b,510_4#$c,518_##$a,520_##$a,540_##$a,600_00$a,600_00$d,600_00$x,600_07$0,600_07$2,600_07$a,600_07$d,600_10$a,600_10$d,600_10$q,600_10$t,600_10$x,600_17$0,600_17$2,600_17$a,600_17$d,600_17$q,610_10$a,610_10$b,610_17$0,610_17$2,610_17$a,610_17$b,610_20$a,610_20$x,610_20$y,610_27$0,610_27$2,610_27$a,611_27$0,611_27$2,611_27$a,630_#7$0,630_#7$2,630_#7$a,630_00$a,648_#7$2,648_#7$a,650_#0$a,650_#0$v,650_#0$x,650_#0$y,650_#0$z,650_#7$0,650_#7$2,650_#7$a,650_#7$x,651_#0$a,651_#0$x,651_#0$y,651_#0$z,651_#7$0,651_#7$2,651_#7$a,651_#7$z,655_#7$0,655_#7$2,655_#7$a,700_1#$a,700_1#$c,700_1#$d,700_1#$q,710_1#$4,710_1#$a,710_1#$b,830_#0$a,830_#0$p,830_#4$a,899_1#$a,905_##$a,948_2#$a,948_2#$b,948_2#$d,948_2#$e,948_2#$x,leader
3601114,20151214182803.0,ss|lmnjluz|nuu,991101s1982 nyunnn l eng d,(OCoLC)63897076,NIC,NIC,NIC,,"Choay, Françoise.",,,,,,Theory of architecture: conflicting roles of myth,,[sound recording],,,,,,,1982.,2 sound cassettes (80 min.) :,"analog, mono.","Sponsored by: Architecture, Department of.",,,,,"Lecture, October 14, 1982.","Choay outlines the concepts of myth, history, and remembrance and
                their relationship to the built environment.",No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Architecture,,Study and teaching.,,,(OCoLC)fst00813524,fast,Architecture,Study and teaching,,,,,,,,,,,,,,,,,,,Preston H. Thomas memorial lectures.,,,CULectures,20000310120000.0,20141221,m,batch,lts,addfast,01103cim a22003012u 4500
3601627,20151214182912.0,ss|lmnjluz|nuu,991101s1982 nyunnn l eng d,(OCoLC)63897920,NIC,NIC,NIC,,"Bishop, Jonathan.",,,,,,Imagination as faith,,[sound recording],,,,,,,1982.,1 sound cassette (60 min.) :,"analog, mono.",Sponsored by: Graduate Literature Club.,,,,,"Lecture, November 30, 1982.","Bishop discusses contemporary literature from Fitzgerald to Diddeon
                as a frame for absolution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absolution.,,"Themes, motives.",,,(OCoLC)fst01000172,fast,"Literature, Modern","Themes, motives",,,,,,,,,(OCoLC)fst01411635,fast,"Criticism, interpretation, etc.",,,,,,,,,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01342cim a22003612u 4500
3601632,20151214182914.0,ss|lmnjluz|nuu,991101s1982 nyunnn l eng d,(OCoLC)63897927,NIC,NIC,NIC,,"Padella, Herberto.",,,,,,,,,,,,,The role of the writer in Cuba,[sound recording],1982.,2 sound cassettes (80 min.) :,"analog, mono.","Sponsored by: Cuban Student Society,Latin American Studies
                Program,Student Finance Commission.",,,,,"Lecture, December 7, 1982.","Padella discusses the role of the writer in communist Cuba where he
                is seen not as a hero, but as an unglorified contributor to social
                justice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,Cuban literature,,,20th century.,,(OCoLC)fst00975769,fast,Intellectual life,,Cuba,Intellectual life.,,,(OCoLC)fst01205805,fast,Cuba,,,,,,,,,,,,,,,CULectures,20000121120000.0,20141221,m,batch,lts,addfast,01327cim a22003492u 4500
3601638,20151214182914.0,ss|lmnjluz|nuu,991101s1983 nyunnn l eng d,(OCoLC)63897945,NIC,NIC,NIC,,"Kahn, Wolf,",,1927-,,,,Restlessness and stability in present day painting,,[sound recording],,,,,,,1983.,1 sound cassette (60 min.) :,"analog, mono.",Sponsored by: Council on the Creative and Performing Arts.,,,,,"Lecture, February 9, 1983.","Kahn discusses current, important issues in art and relates them to
                contemporary examples in painting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Painting,,"Themes, motives.",,,(OCoLC)fst01050628,fast,Painting,"Themes, motives",,,,,,,,,,,,,,,,,,,,,,CULectures,20000217120000.0,20141221,m,batch,lts,addfast,01142cim a22003132u 4500
3601647,20151214182915.0,ss|lmnjluz|nuu,991101s1983 nyunnn l eng d,(OCoLC)63897964,NIC,NIC,NIC,,"Friman, Alice R.",,,,,,Alice R. Friman reads her own poetry,,[sound recording],,,,,,,1983.,1 sound cassette (60 min.) :,"analog, mono.","Sponsored by: English, Department of.",,,,,"Reading, February 17, 1983.","Friman reads three poems which deal with different aspects of the
                life of King Midas, the man who was given the ""golden touch"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Midas (Legendary character),,"Themes, motives.",,,(OCoLC)fst01067743,fast,Poetry,"Themes, motives",,,,,,,,,,,,,,,,,,,,,,CULectures,20000330120000.0,20141221,m,batch,lts,addfast,01198cim a22003252u 4500
3601488,20151214182853.0,ss|lmnjluz|nuu,991101s1983 nyunnn l eng d,(OCoLC)63897687,NIC,NIC,NIC,,"Lutosławski, Witold,",,1913-1994.,,,,Thoughts on the future of music,,[sound recording],,,,,,,1983.,1 sound cassette (55 min.) :,"analog, mono.",Sponsored by: University Lectures Committee.,,,,,"Lecture, March 10, 1983.","Lutoslawski discusses the construction of music in the past and
                explains how the past affects the future of music.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,Music,,History and criticism.,20th century.,,(OCoLC)fst01030269,fast,Music,,,,,,,,,,(OCoLC)fst01411635,fast,"Criticism, interpretation, etc.",,,,,,,,,,,CULectures,20000403120000.0,20141221,m,batch,lts,addfast,01122cim a22003132u 4500
3601498,20151214182854.0,ss|lmnjluz|nuu,991101s1983 nyunnn l eng d,(OCoLC)63897704,NIC,NIC,NIC,,"Benítez Rojo, Antonio,",,1931-2005.,,,,,,,,,"La cultura caribena en la Cuba actual: continuidad versus
                reptura",[sound recording],,,1983.,1 sound cassette (57 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.",,,,,"Lecture, March 17, 1983.","Benitez-Rojo describes the Caribbean influence on Cuban
                culture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,Cuban literature,,,20th century.,,(OCoLC)fst00975769,fast,Intellectual life,,Cuba,Caribbean influences.,,,(OCoLC)fst01205805,fast,Cuba,,,,,,,,,,,,,,,CULectures,20000330120000.0,20141221,m,batch,lts,addfast,01157cim a22003252u 4500
3601499,20151214182855.0,ss|lmnjluz|nuu,991101s1983 nyunnn l eng d,(OCoLC)63897705,NIC,NIC,NIC,,"Woodring, Carl,",,1919-2009.,,,,On being half romantic,,[sound recording],,,,,,,1983.,1 sound cassette (37 min.) :,"analog, mono.",Sponsored by: Society for the Humanities.,,,,,"Lecture, March 17, 1983.",Woodring defines the age of romanticism.,No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romanticism.,,,,,(OCoLC)fst01100133,fast,Romanticism,,,,,,,,,,,,,,,,,,,,,,,CULectures,20000417120000.0,20141221,m,batch,lts,addfast,00914cim a22002892u 4500
3601518,20151214182857.0,ss|lmnjluz|nuu,991101s1983 nyunnn l eng d,(OCoLC)63897743,NIC,NIC,NIC,,"Marinaro, Ed.",,,,,,"All the world's a stage: an insider's perspective on
                ""Hill Street Blues""",,[sound recording],,,,,,,1983.,2 sound cassettes :,"analog, mono.","Speaker(s): Former actor on ""Hill Street Blues""; alumnus of
                Cornell.",,,,,"Lecture, April 15, 1983.","Marinaro talks of his career as a pro football player and as an
                actor, explaining the adjustment from athlete to actor.",,,,,,,,,,,,,,,,,,,,,,,,,Cornell University,Alumni and alumnae.,,(OCoLC)fst00530369,fast,Cornell University,,,,,,,,,,Television,,Biography.,,,(OCoLC)fst01161636,fast,Universities and colleges,Alumni and alumnae,,,,,,,,,(OCoLC)fst01423686,fast,Biography,,,,,,,,,,,CULectures,20000316120000.0,20141221,m,batch,lts,addfast,01434cim a22003372u 4500
3601523,20151214182857.0,ss|lmnjluz|nuu,991101s1983 nyunnn l eng d,(OCoLC)63897753,NIC,NIC,NIC,,"Vonnegut, Kurt.",,,,,,"Kurt Vonnegut, Jr. lectures about his work",,[sound recording],,,,,,,1983.,1 sound cassette (85 min.) :,"analog, mono.","Sponsored by: Sigma Phi Fraternity,Cornell Daily Sun,University
                Unions Programming Board.",,,,,"Lecture, April 17, 1983.","Vonnegut describes life as a Cornell undergraduate and the way to
                become a ""successful"" writer.",No reproductions authorized.,,,,,,,,"Vonnegut, Kurt.",,,,,(OCoLC)fst00036929,fast,"Vonnegut, Kurt",,,,,,,,,Cornell University,Alumni and alumnae.,,(OCoLC)fst00530369,fast,Cornell University,,,,,,,,,,,,,,,(OCoLC)fst01161636,fast,Universities and colleges,Alumni and alumnae,,,,,,,,,,,,,,,,,,,James Norris Oliphant distinguished speakers.,,,CULectures,20000403120000.0,20141221,m,batch,lts,addfast,01303cim a22003372u 4500
3604576,20151214183426.0,ss|lmnjluz|nuu,991101s1983 nyunnn l eng d,(OCoLC)63903025,NIC,NIC,NIC,,"Derrida, Jacques.",,,,,,,,,,,,,The principle of reason and the idea of the university,[sound recording],1983.,2 sound cassettes (100 min.) :,"analog, mono.",Sponsored by: Andrew D. White Professors-At-Large Program.,,,,,"Lecture, April 19, 1983.","Derrida discusses a university's ""reason to be"", its
                meaning and distinction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Higher",,Aims and objectives.,,,(OCoLC)fst01161730,fast,Universities and colleges,Evaluation,,,,,,,,,,,,,,,,,,,Andrew D. White Professors-At-Large lectures.,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01198cim a22003132u 4500
3601554,20151214182901.0,ss|lmnjluz|nuu,991101s1983 nyunnn l eng d,(OCoLC)63897803,NIC,NIC,NIC,,"Cook, Alice.",,,,,,1984: women in the workplace,,[sound recording],,,,,,,1983.,1 sound cassette :,"analog, mono.","Speaker(s): Cook is professor emerita in the New York State School of
                Industrial and Labor Relations.",,,,,"Lecture, July 28, 1983.","Cook explores the dimensions of women's increased labor force
                participation in the United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women,,Employment.,,,(OCoLC)fst01176824,fast,Women,"Legal status, laws, etc.",,,,,,,,,,,,,,,,,,,,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01140cim a22003132u 4500
3601559,20151214182902.0,ss|lmnjluz|nuu,991101s1983 nyunnn l eng d,(OCoLC)63897810,NIC,NIC,NIC,,"Barańczak, Stanisław,",,1946-2014.,,,,Polish poetry under martial law,,[sound recording],,,,,,,1983.,1 sound cassette (55 min.) :,"analog, mono.","Recorded in Ithaca, NY by Cornell University.",,,,,"Lecture, September 12, 1983.","Baranczak discusses the effect of martial law on poetry in
                Poland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,Since 1900,Martial law,,,20th century.,Poland.,(OCoLC)fst01069960,fast,Politics and literature,,Poland,Intellectual life,1945-,,(OCoLC)fst01206891,fast,Poland,,,,,,,,,,,,,,,CULectures,20000119120000.0,20141221,m,batch,lts,addfast,01271cim a22003612u 4500
